trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.5, 'e': 0.05656162735025291}",25,16,16.946897883186423,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.053733545982740265}",20,9,19.47217006919606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.05104686868360325}",25,17,13.809009013844467,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.04849452524942309}",20,6,2.8155355933532986,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.04606979898695193}",20,9,17.196100035344045,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.04376630903760433}",25,11,7.144320751752013,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.041577993585724116}",25,11,26.367356405824843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.03949909390643791}",20,11,16.873495332475787,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.03752413921111601}",20,11,13.226455004726569,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.03564793225056021}",25,10,20.896247279293878,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.0338655356380322}",20,8,5.157696269112878,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.032172258856130585}",20,0,20.818896390214096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.030563645913324056}",20,2,33.07890172860494,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.029035463617657853}",20,10,18.132226972889857,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.027583690436774957}",20,7,19.441116558923735,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.02620450591493621}",20,13,13.489369763833869,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.0248942806191894}",25,14,20.590949567146406,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.023649566588229927}",20,6,22.6867631342145,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.022467088258818428}",20,13,10.627520191541308,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.021343733845877507}",20,2,25.73578311776038,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.02027654715358363}",25,15,17.944604038204407,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.019262719795904448}",35,18,32.17135484670791,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.018299583806109226}",20,8,20.17198410732648,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.017384604615803764}",20,3,24.841381837690584,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
